customer_id,email,first_name,last_name,registration_date,birth_year,gender,country,city,customer_segment,marketing_opt_in,preferred_category
CUST-00001,jane.johnson1@email.com,Jane,Johnson,2021-02-02,1961,M,CA,Toronto,Regular,TRUE,Clothing
CUST-00002,michael.williams2@email.com,Michael,Williams,2022-03-03,1962,F,UK,London,Regular,TRUE,Home & Garden
CUST-00003,sarah.brown3@email.com,Sarah,Brown,2023-04-04,1963,M,DE,Berlin,Regular,FALSE,Sports
CUST-00004,david.jones4@email.com,David,Jones,2024-05-05,1964,F,FR,Paris,Regular,TRUE,Books
CUST-00005,lisa.garcia5@email.com,Lisa,Garcia,2020-06-06,1965,M,AU,Sydney,Regular,TRUE,Beauty
CUST-00006,robert.miller6@email.com,Robert,Miller,2021-07-07,1966,F,US,Chicago,Regular,TRUE,Automotive
CUST-00007,emma.davis7@email.com,Emma,Davis,2022-08-08,1967,M,CA,Vancouver,Premium,FALSE,Toys
CUST-00008,james.rodriguez8@email.com,James,Rodriguez,2023-09-09,1968,F,UK,Manchester,Premium,TRUE,Electronics
CUST-00009,anna.martinez9@email.com,Anna,Martinez,2024-10-10,1969,M,DE,Hamburg,VIP,TRUE,Clothing
CUST-00010,william.hernandez10@email.com,William,Hernandez,2020-11-11,1970,F,FR,Lyon,Regular,TRUE,Home & Garden
CUST-00011,laura.lopez11@email.com,Laura,Lopez,2021-12-12,1971,M,AU,Melbourne,Regular,FALSE,Sports
CUST-00012,christopher.smith12@email.com,Christopher,Smith,2022-01-13,1972,F,US,New York,Regular,TRUE,Books
CUST-00013,jessica.johnson13@email.com,Jessica,Johnson,2023-02-14,1973,M,CA,Toronto,Regular,TRUE,Beauty
CUST-00014,daniel.williams14@email.com,Daniel,Williams,2024-03-15,1974,F,UK,London,Regular,TRUE,Automotive
CUST-00015,ashley.brown15@email.com,Ashley,Brown,2020-04-16,1975,M,DE,Berlin,Regular,FALSE,Toys
CUST-00016,john.jones16@email.com,John,Jones,2021-05-17,1976,F,FR,Paris,Regular,TRUE,Electronics
CUST-00017,jane.garcia17@email.com,Jane,Garcia,2022-06-18,1977,M,AU,Sydney,Premium,TRUE,Clothing
CUST-00018,michael.miller18@email.com,Michael,Miller,2023-07-19,1978,F,US,Chicago,Premium,TRUE,Home & Garden
CUST-00019,sarah.davis19@email.com,Sarah,Davis,2024-08-20,1979,M,CA,Vancouver,VIP,FALSE,Sports
CUST-00020,david.rodriguez20@email.com,David,Rodriguez,2020-09-21,1980,F,UK,Manchester,Regular,TRUE,Books
CUST-00021,lisa.martinez21@email.com,Lisa,Martinez,2021-10-22,1981,M,DE,Hamburg,Regular,TRUE,Beauty
CUST-00022,robert.hernandez22@email.com,Robert,Hernandez,2022-11-23,1982,F,FR,Lyon,Regular,TRUE,Automotive
CUST-00023,emma.lopez23@email.com,Emma,Lopez,2023-12-24,1983,M,AU,Melbourne,Regular,FALSE,Toys
